audience,sum,count,%
cybercongress,115880796057845.0,1,11.5880796057845
cyberpunks,50000000000000.0,1,5.0
cybersenate,50726497621325.0,1,5.0726497621325
gift,700000000000000.0,1,70.0
hackers,1970000000000.0,9,0.197
heroes,6149999999974.0,142,0.6149999999974
inventors,20000000000000.0,2,2.0
investors,53951803942155.0,91,5.3951803942155
masters,1320902378701.0,356,0.1320902378701
