,subject,comm_pool,delegation,euler-4,lifetime,load,relevance,takeoff,port,investors,inventors,sum
205,bostrom1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4uwev5z,,,,,,,704276829.0,,,,704276829.0
206,bostrom1u3ap2d4ytcqrr6jlsjf380g3lvgldq4m64s7dg,,,,,2356640.0,,673130864.0,,,,675487504.0
207,bostrom1keny4peq77drtcdj6fscd9eknqcqyjmxqcr8t8,,,,,,,647527281.0,,,,647527281.0
208,bostrom1gyhwacrpqwues05pkavw7xwehcqsmgruy34zps,,,,,,564067516.0,,,,,564067516.0
209,bostrom16w2xwdzf6tzucpwcjjqtg9656a4kkv7g2f6vk9,,205345882.0,,252779909.0,,,,,,,458125791.0
210,bostrom1u2s32xsws9y2sskz6zvn7lawepdqxad5dcsyy6,,,,,10212105.0,320482915.0,,,,,330695020.0
211,bostrom14z6glatrayal5j53632kcefskyge6ujmgshqfv,,,,327466267.0,,,,,,,327466267.0
212,bostrom1glgevt43557u6s7a2q9q40kzt8myw4ngcv6wr6,,,,,309112576.0,,,,,,309112576.0
213,bostrom14n625exc6ftee3t6tez3hj47lv49amjzan5pkr,,,,236797768.0,,,,,,,236797768.0
214,bostrom1z8mlsd42eaguaqf5gexy5a7jxgpwpgvz99qzft,,,,,,,,218609970.0,,,218609970.0
215,bostrom1v2n3hg6s4resacgpemfyrd5hul2ntk7tftnk6u,,,,,,,,218382779.0,,,218382779.0
216,bostrom1ufpz4dlnfawg0pr5dcq4hkrf9gs30mu0272p9w,,,,,,,,218341548.0,,,218341548.0
217,bostrom1mkhugmqg9c0qe27stz3m4my9xq7e9pct0jyr3p,,,,,,,,218115192.0,,,218115192.0
218,bostrom19uryr2zuxcfdevfq429jng9a2evxwadlsky04c,,,,,1571093.0,197186458.0,,,,,198757551.0
219,bostrom1jst67u54vquzvun3dawpmpwyx5ar8mayaak5j7,,,181160067.0,,,,,,,,181160067.0
220,bostrom1kk79xcsuah7ckvunku78094gyh7900ehkllkur,,,,,,,173703544.0,,,,173703544.0
221,bostrom1fhj7pkuvwflr7z7ngp2v9tj7g58aq2tjgvqfaj,,,,135097195.0,,,,,,,135097195.0
222,bostrom1l4krahjfp87exsmumzpnrfeaer2gsghpuwhfp6,,,,112519320.0,,,,,,,112519320.0
223,bostrom16s7gwc944patdynnfnvac0jh5u76wsnflty377,,,77674844.0,,,,,,,,77674844.0
224,bostrom137eezcxcyqgt6kshfdfuvnsdgwpujyje2l8qdz,,,,,,,73708712.0,,,,73708712.0
225,bostrom19wtkh935tx2ut2n4m6tjvkfvew4shaeezfl7em,,,,,,59855356.0,,,,,59855356.0
226,bostrom190y8vwhmyjdnk7cfutcm7u8haw80xyejdwxsql,,,,,56952126.0,,,,,,56952126.0
227,bostrom1rfh303jsl5297sxgs5txpt97lvxpjt4he3yy5r,,,,,54988260.0,,,,,,54988260.0
228,bostrom1a2kn43nquua6gmr4n42htmjpceqj7fzushe28h,,,,,,52853070.0,,,,,52853070.0
229,bostrom1uz39kh64w8p5df034fh6g5hwpdq8m0h5rx58he,,,,,,,49997750.0,,,,49997750.0
230,bostrom1u74s0z4ft63c6zz7g8xs62esdtdjkzuk4zf0rt,,,,,,42282456.0,,,,,42282456.0
231,bostrom1n89a8avc4j7cv75lfsyynx5kazlk80ar5qcdx6,,102666.0,,40897910.0,,,,,,,41000576.0
232,bostrom12u6qgyrdsy4xmw04vfkkkh9a9tqzw66g59hudt,,,,,27886903.0,,,,,,27886903.0
233,bostrom1pjvkddp4fmx8ym5j7s7su8kn3zuqj255djzpja,,,,,22780851.0,,,,,,22780851.0
234,bostrom13nrdf490fsuv4rwjp02hlyvalqjkn5u6xxqvqz,,,,,14925385.0,,,,,,14925385.0
235,bostrom1fp9q2t9zn9gr5qjh9wljxuavtcsc4h8uqgnm2e,,,,,12175972.0,,,,,,12175972.0
236,bostrom158mysantvvk7x65tfhhuu8q2va4ls34r54hk78,,,,,9819332.0,,,,,,9819332.0
237,bostrom1clalfxmsrqdgnqq5uxlx0mc983pyp3wq4xl03c,,,,,4713279.0,,,,,,4713279.0
238,bostrom1wf8alywyvlxy2dqfe38efdpdmuscfpf4jxvg6r,,,,,4320506.0,,,,,,4320506.0
239,bostrom13zf8kghx7h5fyttk6xdnjqn9c87z0rd36sfqjw,,,,,4320506.0,,,,,,4320506.0
240,bostrom1cc43k76udpd3xvpn6md76zz3ru6nvcnreeg2eq,,,,,3927733.0,,,,,,3927733.0
241,bostrom1l5x6kerswths5xl0d6672y9yyn9mg2vw8yz59q,,,,,3142186.0,,,,,,3142186.0
242,bostrom1qe4sguqg8ztlyy7psf7lzwr4ahph9j36k5hltz,,,,,2749413.0,,,,,,2749413.0
243,bostrom1mn8ev805fde2xswght0snwfayfj9tn54dt24zg,,,,,2749413.0,,,,,,2749413.0
244,bostrom16vc2mjjfxx2h5m6jpdp4nqfu5095qaeeq27qxj,,,,,2749413.0,,,,,,2749413.0
245,bostrom1jmhqgld7luvuhh42wac24z6nlggjvkc7fzgs62,,,,,2356640.0,,,,,,2356640.0
246,bostrom1eq2h9enjxsg5s08scr69lzwde8fl79snw20dc8,,,,,1571093.0,,,,,,1571093.0
247,bostrom1qjknpllzp6w6qsxxjx52zxald29wpyzljznzdv,,,,,1571093.0,,,,,,1571093.0
248,bostrom1dx8mvxfu6mpfnjehvdkp9lsvu78ek2gjr7r766,,,,,1571093.0,,,,,,1571093.0
249,bostrom16862syzdtc6h0sxz92jhnjjas5yhhjgzvyewwd,,,,,1571093.0,,,,,,1571093.0
250,bostrom1teuan269feyw4ax94jfp4pcgrhqnn28gxxz8mw,,,,,1178320.0,,,,,,1178320.0
251,bostrom1latzme6xf6s8tsrymuu6laf2ks2humqvfcz7m6,,,,,785547.0,,,,,,785547.0
252,bostrom1ec9da8avgv7tnvsx3v8g8veqrhlqq26lnncg5t,,,,,785547.0,,,,,,785547.0
253,bostrom1c7pv6zyza76f3yhv0zvjc042e8m7w796qmvkse,,,,,785547.0,,,,,,785547.0
254,bostrom1yvlp9gzqaufwz02swp5wqsqhlmfcrcl8m22gzm,,,,,785547.0,,,,,,785547.0
255,bostrom1yslufs9kq762qty0wh62c8qtlpm2202ejmw4ef,,,,,392773.0,,,,,,392773.0
256,bostrom1y675phjdvw576ahlcmlamrzr28rjht9mx709lg,,,,,392773.0,,,,,,392773.0
257,bostrom1kjhdx3nkh6krdhryvjzkq33xwh6wsyy7y8ark6,,,,,392773.0,,,,,,392773.0
258,bostrom1jxpe7neu764uasz5y5u4lrr5jtltv430gjm9dw,,,,,392773.0,,,,,,392773.0
259,bostrom1hq8d6pu2l6wkrwu9jxcqjcu55g8l43zxmrd6dk,,,,,392773.0,,,,,,392773.0
260,bostrom1c4h647a9rj8n9zye5ttmh9chpg66f3ffdvdds0,,,,,392773.0,,,,,,392773.0
261,bostrom14ysuwg6p4fzfaa6tg4s3hazu86pfevsw4cegce,,,,,392773.0,,,,,,392773.0
262,bostrom1y935ede6znmcvqdmn6mnl2aa5zxcqvvracsczu,,,,,392773.0,,,,,,392773.0
263,bostrom1kz6s2mp4rg7plj8p4qqe2wkegn4ldw3ak2a7qc,,,,,,,233827.0,,,,233827.0
