,source,amount,sum
0,comm_pool,9,1238944039000
1,delegation,42,500000000000
2,euler-4,76,5000000000002
3,lifetime,57,500000000000
4,load,74,499999999996
5,relevance,36,500000000705
6,takeoff,56,12141223492234
7,port,21,1810580449921
8,investors,21,40000000000000
9,inventors,3,21000000000000
