consensus_pubkey,consensus_address,precommits
bostromvalconspub1uswczlnluxgn6srf0qh0s3erkug95ef9jz5gdwvhynqw3e6hseyscmdtky,bostromvalcons12wr57q9pt7ue2uawscp9huz8x0mkdv88e2pr5h,185330
bostromvalconspub1vt67u7659kgrn6q0jd6redp8t00ck36h88sjm3rvfmeddggzmn9qmhqnuh,bostromvalcons1a0nppdzns0u3sgcevcx2cxsz9unq528k0ge896,415427
bostromvalconspub1wm4yfuwlewynfjsdua7gfqfekcwrhn5st5sdn2tl33aravgsxffq8ctp3t,bostromvalcons1m8v2xscd3dz2ulw9rd0j6fmt6nwr9yv9ytag3k,349454
bostromvalconspub1wzv0ae4kjzsevtdqhl7z6la0np08k4jgvg6z9cud7l3xpgjtupgqqkej4n,bostromvalcons1pw74zhk9vz5euuhk9juda2wj9h86lucsgsalnh,317201
bostromvalconspub1xdyytfdytsrvkjhnkpn69efw7u20su6w3tkn0tv4yhdernvt349quxg0ll,bostromvalcons16tnnsxadeajjhhxjxtqkad5pk5zqyal0leld5m,427354
bostromvalconspub1xjkf8z3jfdvamg77ncpetww2twrj8qcvl355axfpmldhlxeg6a0sysdy59,bostromvalcons1va3ukv9jsnfcewpt43tkhcv6ycy88m38rpxm4w,369269
bostromvalconspub1yf98tt3daezaprn7753kr5du6apa7jx6p3gx38e3uej8g77wmskqxdgrsm,bostromvalcons1m3geqy68ksqtnxjnvzseu5t8glu7p7w7dv00qk,419534
bostromvalconspub1ymjsec98dl6qyxcddecmm4pt72ty85nv8z5c299lfa56txhuxd9qmsyx9l,bostromvalcons1r64aqw3sndxgsvslfr8ftg9q9k8f4hlh0wd9c9,339552
bostromvalconspub1z4dnk3702wsrksnfsdv3adz97rzcysu8w7a3et2pyvswpce909hs6f3ut7,bostromvalcons1c0fxjqpdq4fuqejqycts8qllwgk0y5sp3ytmnd,422988
bostromvalconspub1z5tz8447msf8lu44pkj57f4cx34u40lf3d9wgxykjn0053lv7fqqdzsr29,bostromvalcons12xqex2sd7e2f5477lllng0atncf5zwc0ttv5t7,29278
bostromvalconspub1zshf7zswjmkjghgryh8nnsngnq50037yffv8kz0nnnc8ez9llnyqq36vnp,bostromvalcons10lr3afxkvj4sq508u27vepythmuxhaxaprfuys,423293
