,evangelist_address,cashback
0,cosmos14nzyt8wmx4g6zkeluelukamgsh5v4xgnmeq9y4,75442048
1,cosmos1cg79pj70mgl8xlum0rw5yy6enk9jszsrpl6hw5,75442048
2,cosmos16macu2qtc0jmqc7txvf0wkz84cycsx72ywrucl,75442048
3,cosmos1rhlsrmu8qphuw9qcgulcyx9r3v2p7tm70w3yq5,75442048
