,subject,reward,audience
0,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,350000000000000,citizens
1,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,20000000000000,cyberpunks
2,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,70000000000000,hackers
3,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,20000000000000,cosmonauts
4,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,20000000000000,leaders
5,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,30000000000000,investors
6,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,130000000000000,masters
7,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,50000000000000,heroes
8,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,10000000000000,swindlers
