,subject,reward,audience
0,bostrom16230lc9r27vrxlzd4wlvcz2l66quzj84vlkxc5,10000000000000,inventors
1,bostrom1gxhs5wzam5rlgf6cs0lkme400ut64d4ncpfs2h,10000000000000,inventors
