,subject,sum
0,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,700000000000000.0
1,bostrom1xszmhkfjs3s00z2nvtn7evqxw3dtus6yr8e4pw,115883196057845.0
2,bostrom1jv65s3grqf6v6jl3dp4t6c9t9rk99cd8yvs0hc,50726497621325.0
3,bostrom1ha4pw9w2qgc2ce9jwfrwrmaft5fneus58nqwev,50000000000000.0
4,bostrom1qn8sr2hzmktlecusdtxj9hwj0upnm0jft9snar,10152301267211.0
5,bostrom16230lc9r27vrxlzd4wlvcz2l66quzj84vlkxc5,10000000000000.0
6,bostrom1gxhs5wzam5rlgf6cs0lkme400ut64d4ncpfs2h,10000000000000.0
7,bostrom1pntx8ql2v7cqxu05etg8c4v0r2vz7qnq9uqmpy,4000000000000.0
8,bostrom1m8yf3g2m9p7danjvt4ga6vzewy380pk52kcu9z,4000000000000.0
9,bostrom1ttd4h585vgy29gj0xe0p338drvw9w4m4hzwj9p,4000000000000.0
10,bostrom1g07gj9ph0r2hjx6ffqn8vl38u4agd5mpqx9m7f,4000000000000.0
11,bostrom1qwzsnnuk2u6avvh059c9p50gqqquvcu5svvwrs,4000000000000.0
12,bostrom1s4czxghmh29aw2ldynk8r9lnkfccw5ph8rjpxa,4000000000000.0
13,bostrom1edlrze5f48jjaw0wxcve4asqqf2tcjdl59ln8q,2000000000000.0
14,bostrom1t3222ju7ssu58xsm3m2xw445p94cqn2qrex3vy,2000000000000.0
15,bostrom10c8znaj94y900syues06dz50hw6y9qpkhunn25,1400000000000.0
16,bostrom1s3lgc3mgy4ltwr796qk6j73xmau4njueds0mgu,1340337491769.0
17,bostrom10556xtnp39nvx3ec3yjafug662pyt6af84n477,1304153455839.0
18,bostrom1fe5mspz9jsq6p9hqqet86dwp276635l6gacspa,1000200000000.0
19,bostrom17a7xxqa4drnalvv7pkxrkxqer953fdke3ulwx4,1000000000000.0
20,bostrom194pp2whvqynxnfyw5tqy8fzy2kxsugyrwsaynk,1000000000000.0
21,bostrom10e3rqclgjz4m4fnx2c23jupcjpyuvyx3x4k7qj,1000000000000.0
22,bostrom1ngd5w7j4u5ar5xh7vzuwqqznnhhcjmnz0s6kpu,1000000000000.0
23,bostrom1s4wntr9selfaznc2ezjkwnwt2y0terx9tqpda3,1000000000000.0
