,subject,reward,discipline,audience
54,bostrom1fpl40sref5vp8kfm7xkqlq5qc0v4xrjvk89kwa,53188072.0,gol.delegation,heroes
55,bostrom1hmrxmc27fu4ggdpvpxqtahn6uvtj38vuu77a02,10268322.0,gol.delegation,heroes
56,bostrom1uwfk6h06w8vnhmyp48vwcpgwncsec8yv3z0xyg,8204799.0,gol.delegation,heroes
57,bostrom1nuc82t22xgp09rs2tdnlxxgm95pjg5matjwwye,5497646.0,gol.delegation,heroes
58,bostrom15kdrahda8qcyfa9xe8kt2f737m22x2sleslj5l,3552879.0,gol.delegation,heroes
59,bostrom1ldjugf3uj2gwkmmsf5japfknf96zv6hw7xw7v4,102675.0,gol.delegation,heroes
60,bostrom1n89a8avc4j7cv75lfsyynx5kazlk80ar5qcdx6,102666.0,gol.delegation,heroes
61,bostrom1ymprf45c44rp9k0g2r84w2tjhsq7kalv98rgpt,30517372757.0,gol.lifetime,heroes
62,bostrom1hmkqhy8ygl6tnl5g8tc503rwrmmrkjcq3lduwj,27210367043.0,gol.lifetime,heroes
63,bostrom18naxcfp2s397a2ucav2m53f003uylk3qz9fvr7,26399274499.0,gol.lifetime,heroes
64,bostrom1en69twaxmv7xupy8lq7y539dpecx7yz8g0k8ft,24919735783.0,gol.lifetime,heroes
65,bostrom1argjwgcplguenq4l92ggn06wadnfrz0ecqrmqs,24506572852.0,gol.lifetime,heroes
66,bostrom177y7sqkxmvl22j632haf8y9gv0j3wedssq5m50,24014339467.0,gol.lifetime,heroes
67,bostrom1daxxqs56f6j5qxxtjrjkexghsmnaj66tejshc8,23275608448.0,gol.lifetime,heroes
68,bostrom12psudf4rpaw4jwhuyx3y8sejhsynae7gv53hn6,21663954767.0,gol.lifetime,heroes
69,bostrom15zs0cjct43xs4z4sesxcrynar5mxm82f0ykhl3,20503040116.0,gol.lifetime,heroes
70,bostrom1f7nx65pmayfenpfwzwaamwas4ygmvalq2q2ayq,20394243142.0,gol.lifetime,heroes
71,bostrom1njsr8tngxtygsc73mrtn5738ztkzqy7c7y7h3t,17888573509.0,gol.lifetime,heroes
72,bostrom1dxpm2ne0jflzr2hy9j5has6u2dvfv68calunqy,15809132022.0,gol.lifetime,heroes
73,bostrom152m9xcx0ht7yxr5834ju7qjcyvetw8amd04apw,15467407648.0,gol.lifetime,heroes
74,bostrom1lnkg57t7mvg5mcl7kdkevtgr9wlf6f9qtp86sk,14835497059.0,gol.lifetime,heroes
75,bostrom1zy553za8nenzukmv65240323jhuvxzym4pl6w9,13440309740.0,gol.lifetime,heroes
76,bostrom147rnn0rxqkythj4j9ccq0kytmh7f005rn0a3zj,13133148758.0,gol.lifetime,heroes
77,bostrom1stfw0z5nf2ncxxtrk7zndpf2dla3nh379egwcy,11189940762.0,gol.lifetime,heroes
78,bostrom1dt9lwmuq8rkngm5gajxchqhpcnavgp7md9v929,10957918915.0,gol.lifetime,heroes
79,bostrom16h7tyj5p69t3r7qasunf938cx2elp38fhqc7zr,10620434968.0,gol.lifetime,heroes
80,bostrom1ccvpcq9ffy0qd2ca8nmmpzfamtyjfc9znwak8m,9472498458.0,gol.lifetime,heroes
81,bostrom1cjyv02cja896rr5y5lks79enk2nretn3mqyc69,8731817017.0,gol.lifetime,heroes
82,bostrom1mnfalar08dsvtwutmh43lnhx2zzmq7xhdulemj,8540100989.0,gol.lifetime,heroes
83,bostrom1wt9h9wm3zf7yzsy68x7v8p973w02kw8yyurh55,7777346692.0,gol.lifetime,heroes
84,bostrom1ucl2c39dpwqm9pp6cvmlazn2tkwavszhs27j96,7109962804.0,gol.lifetime,heroes
85,bostrom1mnrwpdlnglhtqwa55fa66va0j3fv72nvkz4e2x,6897780406.0,gol.lifetime,heroes
86,bostrom1ggc9sqvj0uhnzwxu5dyzcr05shwd2vv2guqmas,6732817375.0,gol.lifetime,heroes
87,bostrom1zeg2k7kd8qadmwd3kslwmag3erq7hqxt5aajjz,6162279773.0,gol.lifetime,heroes
88,bostrom1fpl40sref5vp8kfm7xkqlq5qc0v4xrjvk89kwa,6083030821.0,gol.lifetime,heroes
89,bostrom18z9vsjffvggluxcxfqwsmrz02v37hx2e3auyn2,5741693919.0,gol.lifetime,heroes
90,bostrom1pswgrf5ap0kld3lpun5z4x08wh7nmgamd8mgex,5358993270.0,gol.lifetime,heroes
91,bostrom19vgwu99fdawejnedgsfx8dmxuc0z4emjf7a044,5014404214.0,gol.lifetime,heroes
92,bostrom1ke7kxdn29w2lrxt9dzusa6shvmwd8xm9gxm2zf,4443209216.0,gol.lifetime,heroes
93,bostrom1s6v5ragv9gg3sq7j3aeqtyy82uaxv3y05hzhh8,4273801138.0,gol.lifetime,heroes
94,bostrom152kqs8p7d3jy6kn4uk87ve3alkuqjgewt3cmvz,4121615983.0,gol.lifetime,heroes
95,bostrom1ke6pp2kq2wx74tlh5fxqgp7af6jtsna3kktuh6,3851891784.0,gol.lifetime,heroes
96,bostrom1mnqlcc7mslzxcf798acp80u2fxudsuzdn0px6s,3666902099.0,gol.lifetime,heroes
97,bostrom1nuc82t22xgp09rs2tdnlxxgm95pjg5matjwwye,3567926892.0,gol.lifetime,heroes
98,bostrom1nvr4qa7szsd3e7xfysn946gcqv5wyemlcxmxpw,3297924061.0,gol.lifetime,heroes
99,bostrom1402rpwdquxxkgvl740f6w69l65eau5vkqcvrax,3246938813.0,gol.lifetime,heroes
100,bostrom1nywu6z26tpcrr2kcqe8z7t235wrfkhfcfhlzmk,3137937218.0,gol.lifetime,heroes
101,bostrom1ldjugf3uj2gwkmmsf5japfknf96zv6hw7xw7v4,2388287319.0,gol.lifetime,heroes
102,bostrom1lljcf37yxh24l3v4kwqsyghwz4ywlg6urg4kte,1970857840.0,gol.lifetime,heroes
103,bostrom1hmrxmc27fu4ggdpvpxqtahn6uvtj38vuu77a02,1844228437.0,gol.lifetime,heroes
104,bostrom1y6huw3naar38u4rtgqmlh9smfu93gszst9tawp,1688512495.0,gol.lifetime,heroes
105,bostrom15kdrahda8qcyfa9xe8kt2f737m22x2sleslj5l,1628053769.0,gol.lifetime,heroes
106,bostrom1uwfk6h06w8vnhmyp48vwcpgwncsec8yv3z0xyg,1494510816.0,gol.lifetime,heroes
107,bostrom1hqeqy4s039q0qcpayqcyaq5hyyvmph97t79m9n,1190379955.0,gol.lifetime,heroes
108,bostrom14h099ukgvp4fm9qs0xnmljzhevrmneq6m6cltv,978084362.0,gol.lifetime,heroes
109,bostrom1xhk0s2ynz2sq3ak3lr4u5gg0da4vyaxkfjhg7l,924447759.0,gol.lifetime,heroes
110,bostrom1g2d9xyuf7ddgaj4llxvg50pfhlsr9ehf2r8dr6,716488373.0,gol.lifetime,heroes
111,bostrom14z6glatrayal5j53632kcefskyge6ujmgshqfv,327466267.0,gol.lifetime,heroes
112,bostrom16w2xwdzf6tzucpwcjjqtg9656a4kkv7g2f6vk9,252779909.0,gol.lifetime,heroes
113,bostrom14n625exc6ftee3t6tez3hj47lv49amjzan5pkr,236797768.0,gol.lifetime,heroes
114,bostrom1fhj7pkuvwflr7z7ngp2v9tj7g58aq2tjgvqfaj,135097195.0,gol.lifetime,heroes
115,bostrom1l4krahjfp87exsmumzpnrfeaer2gsghpuwhfp6,112519320.0,gol.lifetime,heroes
