,subject,comm_pool,delegation,euler-4,lifetime,takeoff,sum
222,cyber124ll3q05an955eh26ygn34u5gtm9287a82sn9c,50000000.0,,,,,50000000.0
223,cyber1clr05sms7eklm509ger6jdzhgheafskv3kaa54,50000000.0,,,,,50000000.0
224,cyber1ayc0pueqve9a3xjpgwh3p4l6hjlyvfpvu8ly6x,50000000.0,,,,,50000000.0
225,cyber1amletsu7926696dpeay8wrewqgww5s7yctpf37,50000000.0,,,,,50000000.0
226,cyber1a57rc9cnhdn4l843ca4990aqldh5wmq0cy2s44,50000000.0,,,,,50000000.0
227,cyber186tpdptavhzz7fg83vnm4r2y85cfqyg65tcqtw,50000000.0,,,,,50000000.0
228,cyber17llhhwjmglhhqumz72e4jap5cj39r8rwemde43,50000000.0,,,,,50000000.0
229,cyber1durjade4he9l23rw38azruzfttpmc8224tfcsr,50000000.0,,,,,50000000.0
230,cyber12w56mhf4nsfchquw0sgzwn72qkzvfvquz0mp6w,50000000.0,,,,,50000000.0
231,cyber16jvmfza0q60umemx2pv8s5kle2h8g9x6k2kjpa,50000000.0,,,,,50000000.0
232,cyber15pax03gsgw84lsygpxyyvtthd8fswrqp6kptfx,50000000.0,,,,,50000000.0
233,cyber15k9z24v0thrxffetjp97493ec89zlz7rahd690,50000000.0,,,,,50000000.0
234,cyber14q65nd2ft893dagpln4fq39wutv2xmpe4wtwej,50000000.0,,,,,50000000.0
235,cyber13s4egz6pqg6a88dunme3esuee5w7qlkj0nttc6,50000000.0,,,,,50000000.0
236,cyber10v8qjj6haddx7wmnr65mcsllu8xunkee66m24f,50000000.0,,,,,50000000.0
237,cyber12w37894jf7rt2ck709rk8xa23lz3lg9tgazsgl,50000000.0,,,,,50000000.0
238,cyber10905rstxf5tzj0w6gguaa76ma7s32v48crx4jl,50000000.0,,,,,50000000.0
239,cyber1exv982mrkyfd967xv7fam7lq8h3ce3dvut7w8v,50000000.0,,,,,50000000.0
240,cyber1exul86z68fzck5jra7jp8xdwvmfz5p9qqyyutx,50000000.0,,,,,50000000.0
241,cyber1e0c3ehnfzvcxvwh9fgzyfc2vqshy9w53fydvy3,50000000.0,,,,,50000000.0
242,cyber1zr9urr3m42w7pu5h5xn7rvghcdk5vtrtl3a9e5,50000000.0,,,,,50000000.0
243,cyber17ssaukj47urfj6c8cgywyz9xhgqz3tnpqxq0p3,50000000.0,,,,,50000000.0
244,cyber16zykdjnfjdy5cy3phuymmcghh8x24eahwqgqkp,50000000.0,,,,,50000000.0
245,cyber1zyws7rajm9f3ql6jqqpzvnml0aym9vspfxcf3t,50000000.0,,,,,50000000.0
246,cyber1jmdtfuxag0deeuyxmj4ge2mqhvc200hll6heu5,50000000.0,,,,,50000000.0
247,cyber1m7y6qezuemqe6n535z7s80ee8zw4zg4875s0xp,50000000.0,,,,,50000000.0
248,cyber1melp9r22clnjzzudd0thvs5zzveqfjylp764rg,50000000.0,,,,,50000000.0
249,cyber1tz4yrvqlw87e74n783n0da4pttay2ypsdcfpd6,50000000.0,,,,,50000000.0
250,cyber1pkhgpslggp3t0nrwskvgczxmavg7yejfc8vz8m,50000000.0,,,,,50000000.0
251,cyber1q22fvnhna2zg2g2xm6s5587w8fvsh2zzdp2ld6,50000000.0,,,,,50000000.0
252,cyber1pa0lcssmjkkycdvrhhzey5h94v34wuf9cdcv88,50000000.0,,,,,50000000.0
253,cyber1pe42d4gkg7smf9na6dvh5twq9hgczsag3pvasg,50000000.0,,,,,50000000.0
254,cyber1q2ajajyu0t544tudcnvk7xcznerhylz37e8hu9,50000000.0,,,,,50000000.0
255,cyber1q8ajen3vu5v5uu4czkvqasqvw827dz2nycfkcd,50000000.0,,,,,50000000.0
256,cyber1zx70t5xqc8h4kmvrssdc2w82v9ksw0r8w9k723,50000000.0,,,,,50000000.0
257,cyber1nscf69wvc0wkgqm8ma79qv8cr6j6zq3d0hcuj6,50000000.0,,,,,50000000.0
258,cyber1qc4t2q45f826cfc7k0y45ma8f5qrrfv2hwvlxv,50000000.0,,,,,50000000.0
259,cyber1qf560sekun7kjsu4r0puey5u4fn90025ddn3kh,50000000.0,,,,,50000000.0
260,cyber1qkltelhy5zsr4kfrefvwsupxyt6y9skwke79qg,50000000.0,,,,,50000000.0
261,cyber1sntt4y34tghn45vw97az7mz4vkcw8kgras96qr,50000000.0,,,,,50000000.0
262,cyber1nfdyvvjy5hum8gpgmt29d0m5y4te3ekpdu39kn,50000000.0,,,,,50000000.0
263,cyber1teyn0utv6yhnwux44ycfvqh6z888pvjaxatedz,50000000.0,,,,,50000000.0
264,cyber1n0wkta56ktj93nzpe9amkgrzq7rhzt3gqzgut2,50000000.0,,,,,50000000.0
265,cyber1l9yx676futn4h28rxupsvk7evl9s68hrc32s6n,50000000.0,,,,,50000000.0
266,cyber1uz39kh64w8p5df034fh6g5hwpdq8m0h5878uqy,,,,,49997750.0,49997750.0
267,cyber1n89a8avc4j7cv75lfsyynx5kazlk80arsctk38,,102666.0,,40897910.0,,41000576.0
268,cyber150svyax8m8dwljwenc8xxtsg0avud07ms3sy5l,12320000.0,,,,,12320000.0
269,cyber1yvlp9gzqaufwz02swp5wqsqhlmfcrcl8ljen4x,12219000.0,,,,,12219000.0
270,cyber14tjwqqyha0c9r0s29dm0n0zdpdc4hfrvhxpm8a,11310000.0,,,,,11310000.0
271,cyber1x8r0ktn36dsxsadnp3863txyd9pksrp6ekt82q,11260000.0,,,,,11260000.0
272,cyber1tyzmkpn0axquu4jlht3lllsmq03um8knsq00kk,11210000.0,,,,,11210000.0
273,cyber1f2uslv6udnjwyqkdngc7rswp5vkmgavzvuk0a4,11100000.0,,,,,11100000.0
274,cyber1t7gw3d2jz4qc6k6umgkazvfyeydjv7l6hug3df,4870000.0,,,,,4870000.0
275,cyber1zejjt25xw9gwvhave95ykkvgqjtk7j56dpkre2,3409000.0,,,,,3409000.0
276,cyber1vesdfkzd36m08clhvkpusq4gv0dnqm288revwe,3184000.0,,,,,3184000.0
277,cyber1ypvt8rf8md7qedvnk0p8cvd6mnffepstr3u0kr,2860000.0,,,,,2860000.0
278,cyber1y7ku6vf9vq53pv4y6lw2zjn4d5ul3javlae4ql,2099000.0,,,,,2099000.0
279,cyber17tksas9e4nkp25vgwcsd7z6y83pa6u7sf4hlwl,2099000.0,,,,,2099000.0
280,cyber167hs9ma63wd02xym0vjw80uqlekt0cs539rtd3,2099000.0,,,,,2099000.0
281,cyber1mzn966mlprxgkvayrqu209069px0qwz7v6q9jc,2099000.0,,,,,2099000.0
282,cyber1cjeg60652ueyu5222l3atmm8vrhlq4tfcgqtet,2099000.0,,,,,2099000.0
283,cyber13855g4d5pfhtnqemgp700qs36qpjdnazt443vf,2069000.0,,,,,2069000.0
284,cyber1pkxtd9xwmqwg08kjgz9xqyee3aw7j8upflkxq8,2019000.0,,,,,2019000.0
285,cyber197h938dvw52kzf2l7gke2u5tcz3grvlezpwmce,2019000.0,,,,,2019000.0
286,cyber1ueywgan39tj27pdysq0d54cqvcwyggf6a52tcr,2019000.0,,,,,2019000.0
287,cyber1m3yh7j0jefp9dl26cz8fqexfg8tds39lna899n,2019000.0,,,,,2019000.0
288,cyber12arnsa069zhad0e40mlgy034n7aq77e2h77hww,2019000.0,,,,,2019000.0
289,cyber1hyjhy0tp6geral2g9vj9nyteglf8t5q4ws6mx0,1982500.0,,,,,1982500.0
290,cyber1gh8tenvx2sf9kj2c359ey6s5k0vzlrl7xdc0jl,1660000.0,,,,,1660000.0
291,cyber1svwchckmrrkfl7py7l2fz3esla7lwmalm4xl5h,1624000.0,,,,,1624000.0
292,cyber1wr0mqeyea45u9av63srtvgr553nyg6l99vdz47,1460000.0,,,,,1460000.0
293,cyber1e20dl8se4v2ev79qcay3ag7uf5t98gam96ukz6,1460000.0,,,,,1460000.0
294,cyber12c8kh7aaz2gg0l4nkd73t58nhurdarensvwstq,1384000.0,,,,,1384000.0
295,cyber1ftyx5guwf39fz4nc5n5nc9fua36cq3448rekzv,1260000.0,,,,,1260000.0
296,cyber123wttw3lu62m7lcg23rkwr88cvv8apjmgw0fj5,1189000.0,,,,,1189000.0
297,cyber1j5wpswepyxva5vupvg05pq6jzqh7ttdvae9vkv,1189000.0,,,,,1189000.0
