,subject,comm_pool,delegation,euler-4,lifetime,load,relevance,takeoff,port,sum
219,cyber1wf8alywyvlxy2dqfe38efdpdmuscfpf4k7lnd7,,,,,4320506.0,,,,4320506.0
220,cyber13zf8kghx7h5fyttk6xdnjqn9c87z0rd37g6m9n,,,,,4320506.0,,,,4320506.0
221,cyber1cc43k76udpd3xvpn6md76zz3ru6nvcnrapm3wa,,,,,3927733.0,,,,3927733.0
222,cyber1l5x6kerswths5xl0d6672y9yyn9mg2vwru30ja,,,,,3142186.0,,,,3142186.0
223,cyber1mn8ev805fde2xswght0snwfayfj9tn54fnew44,,,,,2749413.0,,,,2749413.0
224,cyber1qe4sguqg8ztlyy7psf7lzwr4ahph9j36jvyyul,,,,,2749413.0,,,,2749413.0
225,cyber16vc2mjjfxx2h5m6jpdp4nqfu5095qaeeyjdm30,,,,,2749413.0,,,,2749413.0
226,cyber1jmhqgld7luvuhh42wac24z6nlggjvkc7d6mtdh,,,,,2356640.0,,,,2356640.0
227,cyber1dx8mvxfu6mpfnjehvdkp9lsvu78ek2gj8xs9d8,,,,,1571093.0,,,,1571093.0
228,cyber16862syzdtc6h0sxz92jhnjjas5yhhjgzgu24es,,,,,1571093.0,,,,1571093.0
229,cyber1eq2h9enjxsg5s08scr69lzwde8fl79sn2juk06,,,,,1571093.0,,,,1571093.0
230,cyber1qjknpllzp6w6qsxxjx52zxald29wpyzlk6qe63,,,,,1571093.0,,,,1571093.0
231,cyber1teuan269feyw4ax94jfp4pcgrhqnn28gz73uvn,,,,,1178320.0,,,,1178320.0
232,cyber1c7pv6zyza76f3yhv0zvjc042e8m7w796yrld8y,,,,,785547.0,,,,785547.0
233,cyber1ec9da8avgv7tnvsx3v8g8veqrhlqq26lhttnrk,,,,,785547.0,,,,785547.0
234,cyber1yvlp9gzqaufwz02swp5wqsqhlmfcrcl8ljen4x,,,,,785547.0,,,,785547.0
235,cyber1latzme6xf6s8tsrymuu6laf2ks2humqvdq39v8,,,,,785547.0,,,,785547.0
236,cyber1yslufs9kq762qty0wh62c8qtlpm2202ekraww5,,,,,392773.0,,,,392773.0
237,cyber1y935ede6znmcvqdmn6mnl2aa5zxcqvvreqrr4p,,,,,392773.0,,,,392773.0
238,cyber1y675phjdvw576ahlcmlamrzr28rjht9mzxu7g4,,,,,392773.0,,,,392773.0
239,cyber1kjhdx3nkh6krdhryvjzkq33xwh6wsyy7qlwcp8,,,,,392773.0,,,,392773.0
240,cyber1jxpe7neu764uasz5y5u4lrr5jtltv430v2g76n,,,,,392773.0,,,,392773.0
241,cyber1hq8d6pu2l6wkrwu9jxcqjcu55g8l43zxlm7p6t,,,,,392773.0,,,,392773.0
242,cyber1c4h647a9rj8n9zye5ttmh9chpg66f3fff57k8j,,,,,392773.0,,,,392773.0
243,cyber14ysuwg6p4fzfaa6tg4s3hazu86pfevsw3q2n0y,,,,,392773.0,,,,392773.0
244,cyber1kz6s2mp4rg7plj8p4qqe2wkegn4ldw3ajjw9h9,,,,,,,233827.0,,233827.0
