,subject,comm_pool,delegation,euler-4,lifetime,load,relevance,takeoff,port,sum
14,cyber1w4tvyvf3hhpcwv9d4axa8n0mmj5d6ypv9c8q98,,,,,,,,278432605496.0,278432605496.0
15,cyber1uvqp7cqzpzjxwxlx87epgf8er9az89f9jpzcyh,268944039000.0,,,,,,,,268944039000.0
16,cyber13dpy00jest96g7h5vdgvg9zpxq6xnclhs034rz,,,,,,,258229369437.0,,258229369437.0
17,cyber1kr6udadsvdjymq6m75un4khg27t25st2kt5t24,,,255496772589.0,,,,,,255496772589.0
18,cyber1mdq5r6az6z8su68zj6px88j2ukr78ea4vs9eu8,,,,,,,237448433882.0,,237448433882.0
19,cyber1xk4a2u2rjt7mqu5eg8xtxk37l28r3cugjc97gu,,,,,,,,233157212646.0,233157212646.0
20,cyber177y7sqkxmvl22j632haf8y9gv0j3weds5c8qrj,,20500567008.0,161772072332.0,24014339467.0,28672450.0,16249193036.0,,,222564844293.0
21,cyber1w8ap0ns4d5fagjfwvph6t99uet0cwv6y7mu2tw,,,200997782490.0,,,,,,200997782490.0
22,cyber1svm5wl5jf4p7dwemj7wh0p4egr3js6rq08qz7p,,,197153970492.0,,,,,,197153970492.0
23,cyber1gnnd2eaeqpp6lsd34tnp6j0m85h6r9qgtky2m7,,,194917719034.0,,,,,,194917719034.0
24,cyber1t0hmc79ht0qja92p6qgxn3ee3a3rzqutgxcvhw,,,188630461585.0,,,,,,188630461585.0
25,cyber1ggc9sqvj0uhnzwxu5dyzcr05shwd2vv2vynq2d,,,180243413335.0,6732817375.0,1178320.0,,,,186977409030.0
26,cyber12q68xfj4r00nxnjrqk742rf0z2w6jmwaaejh5j,,,183750995527.0,,,,,,183750995527.0
27,cyber1lepnu7nt05g79jtmfp2pgrpys3fjc4p73gt5gh,,,,,,,182911039870.0,,182911039870.0
28,cyber1zhy7l8phhpsm2c6xl9c5arcu0z90clynmyacef,,,161481707259.0,,,,,,161481707259.0
29,cyber1d5lu67hu3lhqtw6zyv7uy4gkfpdtfnzxfyfq5a,,,,,,,157995617348.0,,157995617348.0
30,cyber1zy553za8nenzukmv65240323jhuvxzym3evpec,,22107148994.0,,13440309740.0,44831928383.0,1160221687.0,72024951997.0,,153564560801.0
