,moniker,operator_address,precommits,consensus_pubkey,reward
27,bubles,bostromvaloper1j6he98h8xwnt2yp9eczhhuff3k3hvk98sedpf6,315164,bostromvalconspub1299scz45h89wppyz4w2lml7mz2ag0g82vpnqtzkf4xyew8zu476s5s9ldy,1151867967
28,P2P.ORG - P2P Validator,bostromvaloper1daxxqs56f6j5qxxtjrjkexghsmnaj66tpghggy,307283,bostromvalconspub14xdjlugaplq04qlzljh6ymvvwvs03tgctd7qrxgu74znpxcelcqswqdntg,1123064324
29,CyberMan,bostromvaloper16h7tyj5p69t3r7qasunf938cx2elp38f06lpjq,294125,bostromvalconspub1ejvx98fnh6fvd909tta76jd2xcgkd8gyku0ddwvcda3c5ya9allsggg8um,1074974191
30,space,bostromvaloper1lnkg57t7mvg5mcl7kdkevtgr9wlf6f9qnmq9q4,293381,bostromvalconspub1upvuak6vwkqdzdmhd76wzxa6u7qp8yprad8pwna32zejrzt6rduqzf8fn4,1072255004
31,web3spring,bostromvaloper1zeg2k7kd8qadmwd3kslwmag3erq7hqxtv86dzp,258086,bostromvalconspub1musa6dcuh3py69yh6h6vfcqxdqj2kw920fdzfn8ncpf7j3k3cy6sf7ll9h,943258101
32,Demon King,bostromvaloper1nvr4qa7szsd3e7xfysn946gcqv5wyemlquue3d,257974,bostromvalconspub1kwu7nc4whm3d90cs0at38rum0yj7mtqt69gjr3ktrd3v69p4dwhshyzqrj,942848761
33,borsh,bostromvaloper1mnqlcc7mslzxcf798acp80u2fxudsuzdt4xe2n,257905,bostromvalconspub1tm7zwaw70jfsptqstfae62s4qekpvthmd7jqvzc9q0rkq67egmks36dww0,942596579
34,stardust,bostromvaloper1cjyv02cja896rr5y5lks79enk2nretn3r6r82x,248099,bostromvalconspub1sqqj3520sjkk4f7n54e5gruh4dqz7eg3ttf28jqq0qgvlljxx4wsh8uprv,906757405
35,kernelpanic,bostromvaloper15n3t80p7eseld809f7fu3s9tlcezlymk3rmt4s,247375,bostromvalconspub1t789radevc4xq3t74sxzqxsg6tuhrer8qezr533dldh60fhca3gstwp4me,904111315
36,Node_masters,bostromvaloper1zy553za8nenzukmv65240323jhuvxzymdmc97x,185330,bostromvalconspub1uswczlnluxgn6srf0qh0s3erkug95ef9jz5gdwvhynqw3e6hseyscmdtky,677347953
37,lux8.net,bostromvaloper1m0tjgkrh4td9fcp8nnssu3rfdahzfgds026q0x,173525,bostromvalconspub1fuhv92fpf9g5nc3m3ujfuzekpyz45cks8ahn8yl6f4e9rjqwfwsqwwr0zu,634202793
38,Adorid,bostromvaloper1mnfalar08dsvtwutmh43lnhx2zzmq7xh4xcxt3,165340,bostromvalconspub165c30jr5dusj8kc2jt0qs7ycfw3lefmy79ds73druly59x079aus76svyl,604288084
39,DragonBall,bostromvaloper1dt9lwmuq8rkngm5gajxchqhpcnavgp7m4lt66x,101033,bostromvalconspub14ud7c34fplq88ah29f63lgenawm6d8t0tu76ve0tucr5f05rq7eqpywkm8,369257518
40,Adorid2,bostromvaloper1g36u05ehktgw5h5udj8hyudd9057d9txaeaaf2,77224,bostromvalconspub1klr6art0y23z9ux8ru9zu0rn9ds46n5ldw2zru7k79aumg2knndsxjhfes,282239887
41,kiwi,bostromvaloper1w4tk9lj8qtx2x4xf4emgrnq950hnlajs795qpl,29278,bostromvalconspub1z5tz8447msf8lu44pkj57f4cx34u40lf3d9wgxykjn0053lv7fqqdzsr29,107005845
