,subject,reward
0,cyber1quchyywzdxp62dq3rwan8fg35v6j58sj2t66tp,400000000000
1,cyber1uvqp7cqzpzjxwxlx87epgf8er9az89f9jpzcyh,268944039000
2,cyber1x95keq9l9y9p7hjdt6xd8wnknrpnjsqry0j40c,150000000000
3,cyber1z98eg2ztdp2glyla62629nrlvczg8s7fgqueyu,100000000000
4,cyber1xvssufw8ke03halg8wgu8m994ktxz0y9grfshw,100000000000
5,cyber1vxxfhd8txmrq76jx3gj7sdrvg0vvqret7w46ls,100000000000
6,cyber1vtu55cc7m6yz9zfg5vqdk80f2g68petgx2kjmg,100000000000
7,cyber16yf94eecl6h44l5w7zp75skh3rg0k4vee549dh,15000000000
8,cyber1gxyf6tsjamnavmkfk43mwfzwscn4tgfkxl9urw,5000000000
